serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,piqe,brisque,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0041,0041_street.jpg,0041_street_bench_inpainted.png,0041_mask_bench.png,24.69,0.924,0.0579,14.86,0.6323,3.8529,32.9901,14.0543,0.09930981595092024,0.26880641925777377,0.19209039548022594,0.1264333132166566,0.5239721528963613,0.997448917612187,0.7863088139656373,0.7206349336509505,0.11204132613778399
0042,0042_street.jpg,0042_street_tree_inpainted.png,0042_mask_tree.png,31.99,0.963,0.0216,21.1,0.6312,3.9719,33.2947,12.9648,0.37921779141104284,0.659979939819458,0.7048022598870056,0.3147254073627037,0.5225272560094574,0.982992784081246,0.8029022987192785,0.7143905584062289,0.3487999982235013
0043,0043_street.jpg,0043_street_giraffe_inpainted.png,0043_mask_giraffe.png,32.22,0.9574,0.021,22.44,0.7639,3.9459,33.5301,14.1183,0.38803680981595084,0.603811434302909,0.713276836158192,0.35515992757996384,0.6968343622750557,0.986151267037586,0.7853340704830921,0.7095648002558432,0.34102501605541036
0044,0044_street.jpg,0044_street_plane_inpainted.png,0044_mask_plane.png,33.09,0.9638,0.0177,24.26,0.6705,3.9541,34.1232,11.728,0.4213957055214725,0.6680040120361082,0.7598870056497176,0.4100784550392276,0.5741494811506632,0.9851551301052018,0.8217392165194652,0.6974061037435503,0.36985734464145964
0045,0045_street.jpg,0045_street_car_inpainted.png,0045_mask_car.png,31.65,0.9431,0.0326,22.17,0.5274,3.9692,32.7065,14.7281,0.36618098159509194,0.46038114343029135,0.5494350282485876,0.3470126735063368,0.38618153159070007,0.9833207803882504,0.7760465927384658,0.7264488037080847,0.27519943065479413
0046,0046_street.jpg,0046_street_book_inpainted.png,0046_mask_book.png,27.5,0.9552,0.0294,14.74,0.5437,3.8319,33.7299,13.2683,0.20705521472392635,0.5817452357071218,0.594632768361582,0.12281231140615571,0.40759227636936807,1.0,0.7982798823606461,0.7054688508996534,0.27668664375852603
0047,0047_street.jpg,0047_street_ronaldo_inpainted.png,0047_mask_ronaldo.png,29.22,0.9309,0.0424,19.22,0.4967,3.8627,33.1244,14.5455,0.2730061349693251,0.33801404212637864,0.41101694915254233,0.25799637899818945,0.34585577301983444,0.9962584124978742,0.7788276577371025,0.7178817504750933,0.20440742524964925
0048,0048_street.jpg,0048_street_mug_inpainted.png,0048_mask_mug.png,31.21,0.9241,0.0467,23.0,0.4861,3.9027,32.464,14.1985,0.34930981595092025,0.2698094282848549,0.3502824858757062,0.37205793602896803,0.3319322212005779,0.9913992079496589,0.7841125950565276,0.7314201136123691,0.19388034602229628
0049,0049_tabletop.jpg,0049_tabletop_bench_inpainted.png,0049_mask_bench.png,36.59,0.9898,0.0142,34.34,0.9653,4.4689,38.0741,34.9896,0.5555981595092025,0.9287863590772317,0.809322033898305,0.7142426071213036,0.9613818468409299,0.922617167569669,0.4674565134948666,0.616411677760717,0.4587413104969478
0050,0050_tabletop.jpg,0050_tabletop_tree_inpainted.png,0050_mask_tree.png,36.8,0.9864,0.0127,23.76,0.8342,4.7078,34.6726,37.441,0.5636503067484662,0.8946840521564698,0.8305084745762712,0.3949909474954738,0.7891764087744646,0.8935955684054522,0.43012079204000103,0.6861432680263797,0.45776856669624144
